"id","branch_id","class_id","teacher_id","co_teacher_id","date","actual_start_datetime","actual_end_datetime","status","created_at","updated_at","lesson_id","display_name"
"87507","9","380","1235",\N,"2024-10-12","2024-10-12 13:35:04","2024-10-12 14:10:42","COMPLETED","2024-02-01 00:00:27","2024-10-12 14:10:42","221","Art Techniques"
"87519","9","383","1235",\N,"2024-10-12","2024-10-12 13:38:05","2024-10-12 14:30:03","COMPLETED","2024-02-01 00:00:28","2024-10-12 14:30:03","173","Bravery"
"87499","9","376","108",\N,"2024-10-12","2024-10-12 13:34:22","2024-10-12 14:07:08","COMPLETED","2024-02-01 00:00:27","2024-10-12 14:07:08","173","Bravery"
"88131","9","627",\N,\N,"2024-10-12",\N,\N,"PENDING","2024-02-01 00:00:44","2024-07-07 18:59:02","173","Bravery"
"87515","9","382",\N,\N,"2024-10-12",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:46","221","Art Techniques"
"86251","9","631","110",\N,"2024-10-12","2024-10-12 13:33:31","2024-10-12 14:00:03","COMPLETED","2024-01-01 00:00:20","2024-10-12 14:00:03","267","Challenge Day Emcee Practice"
"87523","9","384",\N,\N,"2024-10-12",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:51","221","Art Techniques"
"87935","9","549",\N,\N,"2024-10-12",\N,\N,"PENDING","2024-02-01 00:00:39","2024-07-07 18:58:57","269","Research & Reason "
"86322","9","713","1235",\N,"2024-10-12","2024-10-12 13:33:22","2024-10-12 14:01:51","COMPLETED","2024-01-01 00:00:23","2024-10-12 14:01:51","226","Innovative"
"87503","9","377","1235",\N,"2024-10-12","2024-10-12 13:34:34","2024-10-12 14:08:54","COMPLETED","2024-02-01 00:00:27","2024-10-12 14:08:54","221","Art Techniques"
"87579","9","433",\N,\N,"2024-10-10",\N,\N,"PENDING","2024-02-01 00:00:29","2024-07-07 18:58:54","173","Bravery"
"88803","9","846",\N,\N,"2024-10-10",\N,\N,"PENDING","2024-02-01 00:01:00","2024-07-07 18:59:10","269","Research & Reason "
"86271","9","657",\N,\N,"2024-10-10",\N,\N,"PENDING","2024-01-01 00:00:21","2024-07-07 18:59:06","171","Encouragement"
"88651","9","810",\N,\N,"2024-10-10",\N,\N,"PENDING","2024-02-01 00:00:57","2024-07-07 18:59:09","221","Art Techniques"
"87495","9","375",\N,\N,"2024-10-10",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:33","221","Art Techniques"
"86321","9","713","1235",\N,"2024-10-05","2024-10-05 09:55:22","2024-10-05 10:35:50","COMPLETED","2024-01-01 00:00:23","2024-10-05 10:35:50","225","Investigate"
"86212","9","549",\N,\N,"2024-10-05",\N,\N,"PENDING","2024-01-01 00:00:19","2024-07-07 18:58:57","268","Recap "
"86156","9","381","1235",\N,"2024-10-05","2024-10-10 10:21:15","2024-10-10 10:35:41","COMPLETED","2024-01-01 00:00:16","2024-10-10 10:35:41","172","Recap"
"86168","9","384",\N,\N,"2024-10-05",\N,\N,"PENDING","2024-01-01 00:00:17","2024-07-07 18:58:51","220","Recap"
"86228","9","558",\N,\N,"2024-10-05",\N,\N,"PENDING","2024-01-01 00:00:19","2024-07-07 18:59:00","172","Recap"
"86152","9","380","1235",\N,"2024-10-05","2024-10-10 10:20:38","2024-10-10 10:34:18","COMPLETED","2024-01-01 00:00:16","2024-10-10 10:34:18","220","Recap"
"86250","9","631","892",\N,"2024-10-05","2024-10-05 09:55:49","2024-10-05 10:32:05","COMPLETED","2024-01-01 00:00:20","2024-10-05 10:32:05","266","Manage & React Spontaneously"
"86248","9","627",\N,\N,"2024-10-05",\N,\N,"PENDING","2024-01-01 00:00:20","2024-07-07 18:59:02","172","Recap"
"86164","9","383","892",\N,"2024-10-05","2024-10-10 10:21:44","2024-10-10 10:37:03","COMPLETED","2024-01-01 00:00:16","2024-10-10 10:37:03","172","Recap"
"86144","9","376","1235",\N,"2024-10-05","2024-10-10 10:19:49","2024-10-10 10:31:26","COMPLETED","2024-01-01 00:00:16","2024-10-10 10:31:26","172","Recap"
"86342","9","727","892",\N,"2024-10-05","2024-10-10 10:20:48","2024-10-10 10:38:28","COMPLETED","2024-01-01 00:00:23","2024-10-10 10:38:28","266","Manage & React Spontaneously"
"86160","9","382",\N,\N,"2024-10-05",\N,\N,"PENDING","2024-01-01 00:00:16","2024-07-07 18:58:46","220","Recap"
"86140","9","372","108",\N,"2024-10-05","2024-10-10 10:20:28","2024-10-10 10:30:03","COMPLETED","2024-01-01 00:00:15","2024-10-10 10:30:03","172","Recap"
"86148","9","377","892",\N,"2024-10-05","2024-10-10 10:20:00","2024-10-10 10:32:53","COMPLETED","2024-01-01 00:00:16","2024-10-10 10:32:53","220","Recap"
"83729","9","433",\N,\N,"2024-10-03",\N,\N,"PENDING","2023-12-01 00:00:25","2024-07-07 18:58:54","172","Recap"
